schema,table,rls_enabled,rls_forced
auth,audit_log_entries,true,false
auth,flow_state,true,false
auth,identities,true,false
auth,instances,true,false
auth,mfa_amr_claims,true,false
auth,mfa_challenges,true,false
auth,mfa_factors,true,false
auth,oauth_authorizations,false,false
auth,oauth_client_states,false,false
auth,oauth_clients,false,false
auth,oauth_consents,false,false
auth,one_time_tokens,true,false
auth,refresh_tokens,true,false
auth,saml_providers,true,false
auth,saml_relay_states,true,false
auth,schema_migrations,true,false
auth,sessions,true,false
auth,sso_domains,true,false
auth,sso_providers,true,false
auth,users,true,false
cron,job,true,false
cron,job_run_details,true,false
net,_http_response,false,false
net,http_request_queue,false,false
public,admins,true,false
public,channels,true,false
public,comment_likes,true,false
public,comments,true,false
public,community_notes,true,false
public,community_notes_moderation_log,true,false
public,contact_messages,true,false
public,conversation_members,true,false
public,conversations,true,false
public,formats,false,false
public,messages,true,false
public,moderation_actions,false,false
public,notifications,true,false
public,post_bookmarks,true,false
public,post_reaction_votes,true,false
public,post_tags,true,false
public,post_votes,true,false
public,posts,true,false
public,profiles,true,false
public,reactions,true,false
public,reports_old,true,false
public,tags,true,false
public,user_follows,true,false
public,user_moderation,true,false
public,user_moderation_events,true,false
public,user_reports,true,false
realtime,messages_2026_02_08,false,false
realtime,messages_2026_02_09,false,false
realtime,messages_2026_02_10,false,false
realtime,messages_2026_02_11,false,false
realtime,messages_2026_02_12,false,false
realtime,messages_2026_02_13,false,false
realtime,messages_2026_02_14,false,false
realtime,schema_migrations,false,false
realtime,subscription,false,false
storage,buckets,true,false
storage,buckets_analytics,true,false
storage,buckets_vectors,true,false
storage,migrations,true,false
storage,objects,true,false
storage,s3_multipart_uploads,true,false
storage,s3_multipart_uploads_parts,true,false
storage,vector_indexes,true,false
supabase_functions,hooks,false,false
supabase_functions,migrations,false,false
vault,secrets,false,false
